id,name,open_date,event_type_id
33186701,San Francisco Giants @ Tampa Bay Rays,2024-04-13 20:11:00,7511
33186690,Atlanta Braves @ Miami Marlins,2024-04-13 20:11:00,7511
33186691,San Diego Padres @ Los Angeles Dodgers,2024-04-14 01:11:00,7511
33186688,Pittsburgh Pirates @ Philadelphia Phillies,2024-04-13 20:06:00,7511
33186689,St. Louis Cardinals @ Arizona Diamondbacks,2024-04-14 00:11:00,7511
33186694,Minnesota Twins @ Detroit Tigers Game 1,2024-04-13 17:11:00,7511
33186695,Los Angeles Angels @ Boston Red Sox,2024-04-13 20:11:00,7511
33186692,New York Yankees @ Cleveland Guardians Game 2,2024-04-13 22:11:00,7511
33186693,Texas Rangers @ Houston Astros,2024-04-13 20:06:00,7511
33189650,Colorado Rockies @ Toronto Blue Jays,2024-04-14 17:38:00,7511
33189651,Kansas City Royals @ New York Mets,2024-04-14 17:41:00,7511
33189648,Minnesota Twins @ Detroit Tigers,2024-04-14 17:41:00,7511
33189649,Milwaukee Brewers @ Baltimore Orioles,2024-04-14 17:36:00,7511
33189654,Washington Nationals @ Oakland Athletics,2024-04-14 20:08:00,7511
33189655,Chicago Cubs @ Seattle Mariners,2024-04-14 20:11:00,7511
33189652,San Francisco Giants @ Tampa Bay Rays,2024-04-14 17:41:00,7511
33189653,Cincinnati Reds @ Chicago White Sox,2024-04-14 18:11:00,7511
33189642,Pittsburgh Pirates @ Philadelphia Phillies,2024-04-14 17:36:00,7511
33189643,Atlanta Braves @ Miami Marlins,2024-04-14 17:41:00,7511
33189640,St. Louis Cardinals @ Arizona Diamondbacks,2024-04-14 20:11:00,7511
33189646,New York Yankees @ Cleveland Guardians,2024-04-14 17:41:00,7511
33189647,Los Angeles Angels @ Boston Red Sox,2024-04-14 17:36:00,7511
33189644,San Diego Padres @ Los Angeles Dodgers,2024-04-14 23:11:00,7511
33189645,Texas Rangers @ Houston Astros,2024-04-14 18:11:00,7511
33192170,New York Yankees @ Toronto Blue Jays,2024-04-15 23:08:00,7511
33192171,Kansas City Royals @ Chicago White Sox,2024-04-15 23:41:00,7511
33192168,Texas Rangers @ Detroit Tigers,2024-04-15 22:41:00,7511
33192169,Los Angeles Angels @ Tampa Bay Rays,2024-04-15 22:51:00,7511
33192174,Cincinnati Reds @ Seattle Mariners,2024-04-16 01:43:00,7511
33192172,Atlanta Braves @ Houston Astros,2024-04-16 00:11:00,7511
33192173,St. Louis Cardinals @ Oakland Athletics,2024-04-16 01:41:00,7511
33192162,San Francisco Giants @ Miami Marlins,2024-04-15 22:41:00,7511
33192163,Pittsburgh Pirates @ New York Mets,2024-04-15 23:11:00,7511
33192160,Chicago Cubs @ Arizona Diamondbacks,2024-04-16 01:41:00,7511
33192161,Colorado Rockies @ Philadelphia Phillies,2024-04-15 22:41:00,7511
33192166,Cleveland Guardians @ Boston Red Sox,2024-04-15 15:11:00,7511
33192167,Minnesota Twins @ Baltimore Orioles,2024-04-15 22:36:00,7511
33192164,San Diego Padres @ Milwaukee Brewers,2024-04-15 23:41:00,7511
33192165,Washington Nationals @ Los Angeles Dodgers,2024-04-16 02:11:00,7511
