id,status,last_price_traded,total_matched,handicap,market_id,record_date
6266193,ACTIVE,2.52,0.0,0.0,1.216121644,2023-07-16 08:07
29157,ACTIVE,1.6,0.0,0.0,1.216121644,2023-07-16 08:07
29165,ACTIVE,2.44,0.0,0.0,1.216121690,2023-07-16 08:07
29164,ACTIVE,1.7,0.0,0.0,1.216121690,2023-07-16 08:07
29159,ACTIVE,2.66,0.0,0.0,1.216121746,2023-07-16 08:07
7100968,ACTIVE,,0.0,0.0,1.216121746,2023-07-16 08:07
29171,ACTIVE,,0.0,0.0,1.216121792,2023-07-16 08:07
29174,ACTIVE,,0.0,0.0,1.216121792,2023-07-16 08:07
29177,ACTIVE,,0.0,0.0,1.216121838,2023-07-16 08:07
29175,ACTIVE,,0.0,0.0,1.216121838,2023-07-16 08:07
29172,ACTIVE,2.14,0.0,0.0,1.216121884,2023-07-16 08:07
29167,ACTIVE,1.85,0.0,0.0,1.216121884,2023-07-16 08:07
1033687,ACTIVE,2.7,0.0,0.0,1.216121930,2023-07-16 08:07
50291,ACTIVE,1.59,0.0,0.0,1.216121930,2023-07-16 08:07
29178,ACTIVE,1.71,0.0,0.0,1.216121976,2023-07-16 08:07
29176,ACTIVE,,0.0,0.0,1.216121976,2023-07-16 08:07
29160,ACTIVE,1.57,0.0,0.0,1.216121306,2023-07-16 12:00
7100972,ACTIVE,2.78,0.0,0.0,1.216121306,2023-07-16 12:00
29162,ACTIVE,1.5,0.0,0.0,1.216121355,2023-07-16 12:00
29179,ACTIVE,2.98,0.0,0.0,1.216121355,2023-07-16 12:00
41541473,ACTIVE,2.16,0.0,0.0,1.216121401,2023-07-16 12:00
29163,ACTIVE,1.81,0.0,0.0,1.216121401,2023-07-16 12:00
29170,ACTIVE,1.75,0.0,0.0,1.216121447,2023-07-16 12:00
1093236,ACTIVE,2.36,0.0,0.0,1.216121447,2023-07-16 12:00
29158,ACTIVE,2.36,0.0,0.0,1.216121505,2023-07-16 12:00
29166,ACTIVE,1.72,0.0,0.0,1.216121505,2023-07-16 12:00
29161,ACTIVE,1.51,0.0,0.0,1.216121552,2023-07-16 12:00
29168,ACTIVE,3.1,0.0,0.0,1.216121552,2023-07-16 12:00
